03/16 09:24:42 AM | Logger is set - training start
03/16 01:10:04 PM | Quality: 0.5099333333333333 


03/16 01:10:04 PM | epoch83
03/16 01:10:04 PM | using seed 83
03/16 01:15:15 PM | Train: [84/100] Step 468/468 Loss 0.296 Acc@(1) 87.5%
03/16 01:15:16 PM | Train: [84/100] Final Prec@1 87.5000%
03/16 01:15:40 PM | Valid: [84/100] Final Prec@1 82.7567%; lambda = 0.1
03/16 01:15:40 PM | Quality: 0.8275666666666667 


03/16 01:16:04 PM | Valid: [84/100] Final Prec@1 85.4400%; lambda = 1e+00
03/16 01:16:04 PM | Quality: 0.8544000000635783 


03/16 01:16:28 PM | Valid: [84/100] Final Prec@1 89.8233%; lambda = 1e+01
03/16 01:16:28 PM | Quality: 0.8982333333969116 


03/16 01:16:52 PM | Valid: [84/100] Final Prec@1 55.2200%; lambda = 1e+02
03/16 01:16:52 PM | Quality: 0.5522 


03/16 01:16:52 PM | epoch84
03/16 01:16:52 PM | using seed 84
03/16 01:22:05 PM | Train: [85/100] Step 468/468 Loss 0.293 Acc@(1) 75.0%
03/16 01:22:05 PM | Train: [85/100] Final Prec@1 75.0000%
03/16 01:22:29 PM | Valid: [85/100] Final Prec@1 67.2867%; lambda = 0.1
03/16 01:22:29 PM | Quality: 0.672866666730245 


03/16 01:22:54 PM | Valid: [85/100] Final Prec@1 69.3200%; lambda = 1e+00
03/16 01:22:54 PM | Quality: 0.6932000000317892 


03/16 01:23:18 PM | Valid: [85/100] Final Prec@1 89.4300%; lambda = 1e+01
03/16 01:23:18 PM | Quality: 0.8943 


03/16 01:23:42 PM | Valid: [85/100] Final Prec@1 75.5233%; lambda = 1e+02
03/16 01:23:43 PM | Quality: 0.7552333333651224 


03/16 01:23:43 PM | epoch85
03/16 01:23:43 PM | using seed 85
03/16 01:28:56 PM | Train: [86/100] Step 468/468 Loss 0.289 Acc@(1) 87.5%
03/16 01:28:56 PM | Train: [86/100] Final Prec@1 87.5000%
03/16 01:29:19 PM | Valid: [86/100] Final Prec@1 85.3800%; lambda = 0.1
03/16 01:29:19 PM | Quality: 0.8538 


03/16 01:29:43 PM | Valid: [86/100] Final Prec@1 87.9600%; lambda = 1e+00
03/16 01:29:43 PM | Quality: 0.8796000000635783 


03/16 01:30:06 PM | Valid: [86/100] Final Prec@1 90.2300%; lambda = 1e+01
03/16 01:30:06 PM | Quality: 0.9023 


03/16 01:30:29 PM | Valid: [86/100] Final Prec@1 30.5000%; lambda = 1e+02
03/16 01:30:29 PM | Quality: 0.305 


03/16 01:30:29 PM | epoch86
03/16 01:30:29 PM | using seed 86
03/16 01:35:39 PM | Train: [87/100] Step 468/468 Loss 0.286 Acc@(1) 79.2%
03/16 01:35:40 PM | Train: [87/100] Final Prec@1 79.1667%
03/16 01:36:03 PM | Valid: [87/100] Final Prec@1 74.1100%; lambda = 0.1
03/16 01:36:03 PM | Quality: 0.7411 


03/16 01:36:26 PM | Valid: [87/100] Final Prec@1 76.5700%; lambda = 1e+00
03/16 01:36:26 PM | Quality: 0.7657 


03/16 01:36:50 PM | Valid: [87/100] Final Prec@1 91.1000%; lambda = 1e+01
03/16 01:36:50 PM | Quality*: 0.911 


03/16 01:37:14 PM | Valid: [87/100] Final Prec@1 59.3267%; lambda = 1e+02
03/16 01:37:14 PM | Quality: 0.593266666730245 


03/16 01:37:14 PM | epoch87
03/16 01:37:14 PM | using seed 87
03/16 01:42:24 PM | Train: [88/100] Step 468/468 Loss 0.289 Acc@(1) 75.0%
03/16 01:42:24 PM | Train: [88/100] Final Prec@1 75.0000%
03/16 01:42:48 PM | Valid: [88/100] Final Prec@1 84.1867%; lambda = 0.1
03/16 01:42:48 PM | Quality: 0.8418666666984558 


03/16 01:43:11 PM | Valid: [88/100] Final Prec@1 86.9700%; lambda = 1e+00
03/16 01:43:11 PM | Quality: 0.8697000000317892 


03/16 01:43:35 PM | Valid: [88/100] Final Prec@1 91.4233%; lambda = 1e+01
03/16 01:43:35 PM | Quality*: 0.9142333333969116 


03/16 01:43:59 PM | Valid: [88/100] Final Prec@1 59.9500%; lambda = 1e+02
03/16 01:43:59 PM | Quality: 0.5995 


03/16 01:43:59 PM | epoch88
03/16 01:43:59 PM | using seed 88
03/16 01:49:14 PM | Train: [89/100] Step 468/468 Loss 0.294 Acc@(1) 70.8%
03/16 01:49:14 PM | Train: [89/100] Final Prec@1 70.8333%
03/16 01:49:38 PM | Valid: [89/100] Final Prec@1 64.5567%; lambda = 0.1
03/16 01:49:38 PM | Quality: 0.6455666666984559 


03/16 01:50:02 PM | Valid: [89/100] Final Prec@1 65.5233%; lambda = 1e+00
03/16 01:50:02 PM | Quality: 0.6552333333969116 


03/16 01:50:26 PM | Valid: [89/100] Final Prec@1 86.6400%; lambda = 1e+01
03/16 01:50:26 PM | Quality: 0.8664 


03/16 01:50:51 PM | Valid: [89/100] Final Prec@1 81.7867%; lambda = 1e+02
03/16 01:50:51 PM | Quality: 0.8178666666666666 


03/16 01:50:51 PM | epoch89
03/16 01:50:51 PM | using seed 89
03/16 01:56:02 PM | Train: [90/100] Step 468/468 Loss 0.287 Acc@(1) 83.3%
03/16 01:56:02 PM | Train: [90/100] Final Prec@1 83.3333%
03/16 01:56:25 PM | Valid: [90/100] Final Prec@1 84.9167%; lambda = 0.1
03/16 01:56:25 PM | Quality: 0.8491666666984559 


03/16 01:56:49 PM | Valid: [90/100] Final Prec@1 89.0233%; lambda = 1e+00
03/16 01:56:49 PM | Quality: 0.8902333333333333 


03/16 01:57:13 PM | Valid: [90/100] Final Prec@1 76.6767%; lambda = 1e+01
03/16 01:57:13 PM | Quality: 0.7667666666984558 


03/16 01:57:37 PM | Valid: [90/100] Final Prec@1 28.9033%; lambda = 1e+02
03/16 01:57:37 PM | Quality: 0.2890333333492279 


03/16 01:57:37 PM | epoch90
03/16 01:57:37 PM | using seed 90
03/16 02:02:48 PM | Train: [91/100] Step 468/468 Loss 0.287 Acc@(1) 68.8%
03/16 02:02:48 PM | Train: [91/100] Final Prec@1 68.7500%
03/16 02:03:12 PM | Valid: [91/100] Final Prec@1 64.6833%; lambda = 0.1
03/16 02:03:12 PM | Quality: 0.6468333333651225 


03/16 02:03:37 PM | Valid: [91/100] Final Prec@1 67.4100%; lambda = 1e+00
03/16 02:03:37 PM | Quality: 0.6741 


03/16 02:04:02 PM | Valid: [91/100] Final Prec@1 88.9133%; lambda = 1e+01
03/16 02:04:02 PM | Quality: 0.8891333333969116 


03/16 02:04:26 PM | Valid: [91/100] Final Prec@1 82.2133%; lambda = 1e+02
03/16 02:04:26 PM | Quality: 0.8221333333969116 


03/16 02:04:26 PM | epoch91
03/16 02:04:26 PM | using seed 91
03/16 02:09:43 PM | Train: [92/100] Step 468/468 Loss 0.283 Acc@(1) 95.8%
03/16 02:09:43 PM | Train: [92/100] Final Prec@1 95.8333%
03/16 02:10:09 PM | Valid: [92/100] Final Prec@1 88.1500%; lambda = 0.1
03/16 02:10:09 PM | Quality: 0.8815000000635783 


03/16 02:10:34 PM | Valid: [92/100] Final Prec@1 90.0933%; lambda = 1e+00
03/16 02:10:34 PM | Quality: 0.9009333333969116 


03/16 02:10:59 PM | Valid: [92/100] Final Prec@1 88.5200%; lambda = 1e+01
03/16 02:10:59 PM | Quality: 0.8852000000635782 


03/16 02:11:24 PM | Valid: [92/100] Final Prec@1 49.6567%; lambda = 1e+02
03/16 02:11:24 PM | Quality: 0.4965666666984558 


03/16 02:11:24 PM | epoch92
03/16 02:11:24 PM | using seed 92

03/16 02:16:55 PM | Logger is set - training start
03/16 02:16:58 PM | found checkpoint: searchs/mnist_darts_hypernet_example/checkpoint_0_91.ckp
03/16 02:16:58 PM | epoch92
03/16 02:16:58 PM | using seed 92
03/16 02:22:02 PM | Train: [93/100] Step 468/468 Loss 0.281 Acc@(1) 81.2%
03/16 02:22:03 PM | Train: [93/100] Final Prec@1 81.2500%
03/16 02:22:25 PM | Valid: [93/100] Final Prec@1 79.9300%; lambda = 0.1
03/16 02:22:25 PM | Quality*: 0.7993000000635783 


03/16 02:22:47 PM | Valid: [93/100] Final Prec@1 83.5367%; lambda = 1e+00
03/16 02:22:47 PM | Quality*: 0.8353666666984558 


03/16 02:23:09 PM | Valid: [93/100] Final Prec@1 91.0367%; lambda = 1e+01
03/16 02:23:09 PM | Quality*: 0.9103666666984558 


03/16 02:23:31 PM | Valid: [93/100] Final Prec@1 62.5067%; lambda = 1e+02
03/16 02:23:31 PM | Quality: 0.6250666666666667 


03/16 02:23:31 PM | epoch93
03/16 02:23:31 PM | using seed 93
03/16 02:28:32 PM | Train: [94/100] Step 468/468 Loss 0.282 Acc@(1) 87.5%
03/16 02:28:32 PM | Train: [94/100] Final Prec@1 87.5000%
03/16 02:28:57 PM | Valid: [94/100] Final Prec@1 89.1133%; lambda = 0.1
03/16 02:28:57 PM | Quality: 0.8911333333651225 


03/16 02:29:21 PM | Valid: [94/100] Final Prec@1 90.7967%; lambda = 1e+00
03/16 02:29:21 PM | Quality: 0.907966666730245 


03/16 02:29:44 PM | Valid: [94/100] Final Prec@1 89.2700%; lambda = 1e+01
03/16 02:29:44 PM | Quality: 0.8927000000635783 


03/16 02:30:07 PM | Valid: [94/100] Final Prec@1 58.6700%; lambda = 1e+02
03/16 02:30:07 PM | Quality: 0.5867000000635783 


03/16 02:30:07 PM | epoch94
03/16 02:30:07 PM | using seed 94
03/16 02:35:15 PM | Train: [95/100] Step 468/468 Loss 0.278 Acc@(1) 83.3%
03/16 02:35:15 PM | Train: [95/100] Final Prec@1 83.3333%
03/16 02:35:39 PM | Valid: [95/100] Final Prec@1 79.2300%; lambda = 0.1
03/16 02:35:39 PM | Quality: 0.7923000000635783 


03/16 02:36:04 PM | Valid: [95/100] Final Prec@1 82.6067%; lambda = 1e+00
03/16 02:36:04 PM | Quality: 0.8260666666984559 


03/16 02:36:29 PM | Valid: [95/100] Final Prec@1 91.7667%; lambda = 1e+01
03/16 02:36:29 PM | Quality*: 0.9176666666984558 


03/16 02:36:53 PM | Valid: [95/100] Final Prec@1 70.0533%; lambda = 1e+02
03/16 02:36:53 PM | Quality: 0.7005333333651225 


03/16 02:36:53 PM | epoch95
03/16 02:36:53 PM | using seed 95
03/16 02:42:04 PM | Train: [96/100] Step 468/468 Loss 0.282 Acc@(1) 64.6%
03/16 02:42:05 PM | Train: [96/100] Final Prec@1 64.5833%
03/16 02:42:29 PM | Valid: [96/100] Final Prec@1 69.7367%; lambda = 0.1
03/16 02:42:29 PM | Quality: 0.6973666666666667 


03/16 02:42:54 PM | Valid: [96/100] Final Prec@1 73.2267%; lambda = 1e+00
03/16 02:42:54 PM | Quality: 0.732266666730245 


03/16 02:43:19 PM | Valid: [96/100] Final Prec@1 90.9200%; lambda = 1e+01
03/16 02:43:19 PM | Quality: 0.9092000000317891 


03/16 02:43:43 PM | Valid: [96/100] Final Prec@1 70.5300%; lambda = 1e+02
03/16 02:43:43 PM | Quality: 0.7053000000317892 


03/16 02:43:43 PM | epoch96
03/16 02:43:43 PM | using seed 96
03/16 02:48:54 PM | Train: [97/100] Step 468/468 Loss 0.285 Acc@(1) 87.5%
03/16 02:48:54 PM | Train: [97/100] Final Prec@1 87.5000%
03/16 02:49:18 PM | Valid: [97/100] Final Prec@1 90.3633%; lambda = 0.1
03/16 02:49:18 PM | Quality: 0.9036333333969117 


03/16 02:49:42 PM | Valid: [97/100] Final Prec@1 91.7933%; lambda = 1e+00
03/16 02:49:42 PM | Quality*: 0.9179333333333334 


03/16 02:50:06 PM | Valid: [97/100] Final Prec@1 86.0533%; lambda = 1e+01
03/16 02:50:06 PM | Quality: 0.8605333333969116 


03/16 02:50:29 PM | Valid: [97/100] Final Prec@1 39.5133%; lambda = 1e+02
03/16 02:50:29 PM | Quality: 0.39513333336512246 


03/16 02:50:29 PM | epoch97
03/16 02:50:29 PM | using seed 97
03/16 02:55:33 PM | Train: [98/100] Step 468/468 Loss 0.278 Acc@(1) 83.3%
03/16 02:55:33 PM | Train: [98/100] Final Prec@1 83.3333%
03/16 02:55:56 PM | Valid: [98/100] Final Prec@1 73.2967%; lambda = 0.1
03/16 02:55:56 PM | Quality: 0.7329666666666667 


03/16 02:56:19 PM | Valid: [98/100] Final Prec@1 76.8033%; lambda = 1e+00
03/16 02:56:19 PM | Quality: 0.7680333333333333 


03/16 02:56:41 PM | Valid: [98/100] Final Prec@1 90.2367%; lambda = 1e+01
03/16 02:56:41 PM | Quality: 0.9023666667302449 


03/16 02:57:04 PM | Valid: [98/100] Final Prec@1 80.0900%; lambda = 1e+02
03/16 02:57:04 PM | Quality: 0.8009000000317892 


03/16 02:57:04 PM | epoch98
03/16 02:57:04 PM | using seed 98
03/16 03:02:09 PM | Train: [99/100] Step 468/468 Loss 0.284 Acc@(1) 85.4%
03/16 03:02:09 PM | Train: [99/100] Final Prec@1 85.4167%
03/16 03:02:32 PM | Valid: [99/100] Final Prec@1 88.3100%; lambda = 0.1
03/16 03:02:32 PM | Quality: 0.8831000000635782 


03/16 03:02:55 PM | Valid: [99/100] Final Prec@1 90.4533%; lambda = 1e+00
03/16 03:02:55 PM | Quality: 0.9045333333333333 


03/16 03:03:19 PM | Valid: [99/100] Final Prec@1 91.2000%; lambda = 1e+01
03/16 03:03:19 PM | Quality: 0.9120000000635783 


03/16 03:03:42 PM | Valid: [99/100] Final Prec@1 64.6433%; lambda = 1e+02
03/16 03:03:42 PM | Quality: 0.6464333333969117 


03/16 03:03:42 PM | epoch99
03/16 03:03:42 PM | using seed 99
03/16 03:08:51 PM | Train: [100/100] Step 468/468 Loss 0.280 Acc@(1) 87.5%
03/16 03:08:51 PM | Train: [100/100] Final Prec@1 87.5000%
03/16 03:09:15 PM | Valid: [100/100] Final Prec@1 82.1933%; lambda = 0.1
03/16 03:09:15 PM | Quality: 0.8219333333333333 


03/16 03:09:39 PM | Valid: [100/100] Final Prec@1 85.7733%; lambda = 1e+00
03/16 03:09:39 PM | Quality: 0.8577333333333333 


03/16 03:10:02 PM | Valid: [100/100] Final Prec@1 92.1900%; lambda = 1e+01
03/16 03:10:02 PM | Quality*: 0.9219000000635783 


03/16 03:10:25 PM | Valid: [100/100] Final Prec@1 76.9267%; lambda = 1e+02
03/16 03:10:26 PM | Quality: 0.7692666666666667 


03/16 03:10:26 PM | Final best =  0.9219000000635783
03/16 03:10:26 PM | found checkpoint: searchs/mnist_darts_hypernet_example/checkpoint_13_49.ckp
03/16 03:10:26 PM | epoch50
03/16 03:10:26 PM | using seed 63
03/16 03:15:37 PM | Train: [51/100] Step 468/468 Loss 0.426 Acc@(1) 81.2%
03/16 03:15:37 PM | Train: [51/100] Final Prec@1 81.2500%
03/16 03:16:02 PM | Valid: [51/100] Final Prec@1 74.9833%; lambda = 0.1
03/16 03:16:03 PM | Quality*: 0.7498333333333334 


03/16 03:16:27 PM | Valid: [51/100] Final Prec@1 71.6467%; lambda = 1e+00
03/16 03:16:27 PM | Quality: 0.7164666666984558 


03/16 03:16:51 PM | Valid: [51/100] Final Prec@1 84.2333%; lambda = 1e+01
03/16 03:16:51 PM | Quality*: 0.8423333333651225 


03/16 03:17:14 PM | Valid: [51/100] Final Prec@1 69.2967%; lambda = 1e+02
03/16 03:17:14 PM | Quality: 0.692966666730245 


03/16 03:17:14 PM | epoch51
03/16 03:17:14 PM | using seed 64
03/16 03:22:22 PM | Train: [52/100] Step 468/468 Loss 0.402 Acc@(1) 58.3%
03/16 03:22:22 PM | Train: [52/100] Final Prec@1 58.3333%
03/16 03:22:45 PM | Valid: [52/100] Final Prec@1 61.5700%; lambda = 0.1
03/16 03:22:45 PM | Quality: 0.6157000000635783 


03/16 03:23:08 PM | Valid: [52/100] Final Prec@1 54.2133%; lambda = 1e+00
03/16 03:23:08 PM | Quality: 0.5421333333651225 


03/16 03:23:31 PM | Valid: [52/100] Final Prec@1 68.7300%; lambda = 1e+01
03/16 03:23:31 PM | Quality: 0.6873000000635783 


03/16 03:23:54 PM | Valid: [52/100] Final Prec@1 71.0233%; lambda = 1e+02
03/16 03:23:54 PM | Quality: 0.7102333333333334 


03/16 03:23:54 PM | epoch52
03/16 03:23:54 PM | using seed 65
03/16 03:29:03 PM | Train: [53/100] Step 468/468 Loss 0.387 Acc@(1) 60.4%
03/16 03:29:03 PM | Train: [53/100] Final Prec@1 60.4167%
03/16 03:29:26 PM | Valid: [53/100] Final Prec@1 67.6533%; lambda = 0.1
03/16 03:29:27 PM | Quality: 0.6765333333333333 


03/16 03:29:50 PM | Valid: [53/100] Final Prec@1 62.9033%; lambda = 1e+00
03/16 03:29:50 PM | Quality: 0.6290333333333333 


03/16 03:30:14 PM | Valid: [53/100] Final Prec@1 78.0500%; lambda = 1e+01
03/16 03:30:14 PM | Quality: 0.7805 


03/16 03:30:38 PM | Valid: [53/100] Final Prec@1 71.3000%; lambda = 1e+02
03/16 03:30:38 PM | Quality: 0.7130000000635783 


03/16 03:30:38 PM | epoch53
03/16 03:30:38 PM | using seed 66
03/16 03:35:45 PM | Train: [54/100] Step 468/468 Loss 0.375 Acc@(1) 89.6%
03/16 03:35:45 PM | Train: [54/100] Final Prec@1 89.5833%
03/16 03:36:07 PM | Valid: [54/100] Final Prec@1 87.9733%; lambda = 0.1
03/16 03:36:07 PM | Quality*: 0.8797333333651225 


03/16 03:36:29 PM | Valid: [54/100] Final Prec@1 89.2200%; lambda = 1e+00
03/16 03:36:30 PM | Quality*: 0.8922000000635782 


03/16 03:36:52 PM | Valid: [54/100] Final Prec@1 87.0000%; lambda = 1e+01
03/16 03:36:52 PM | Quality: 0.8700000000635782 


03/16 03:37:14 PM | Valid: [54/100] Final Prec@1 43.5233%; lambda = 1e+02
03/16 03:37:14 PM | Quality: 0.4352333333492279 


03/16 03:37:14 PM | epoch54
03/16 03:37:14 PM | using seed 67


